,Name,Employees,Address,Latitude,Longitude
0,BRANDON TANDOORI LTD,124,43 Clarence Road Manor Park London E125BB,51.55044059999999,0.040202
1,BRANDONE MACHINE TOOL LIMITED,83,Unit A24 The Big Yellow 1000 North Circular Road London NW27JP,51.5695623,-0.2355905
2,BRANDONMAX LIMITED,102,35 Firs Avenue London United Kingdom N113NE,51.6091337,-0.1511145
3,BRANDONSCOTE LIMITED,39,44 Eastbury Avenue Enfield Middlesex EN13Nl,,
4,BRANDONSTEAD LIMITED,89,Bridge House London Bridge London SE19QR,51.5053298,-0.08834449999999999
5,BRANDOO LTD,90,27 Drysdale Street London N16ND,51.5279818,-0.0785211
6,BRANDOPUS HOLDINGS LIMITED,170,Devonshire House 60 Goswell Road London EC1M7AD,51.5231294,-0.0979413
7,BRANDOPUS LLP,81,Devonshire House 60 Goswell Road London EC1M7AD,51.5231294,-0.0979413
8,BRANDORA LIMITED,106,Progress House 404 Brighton Road South Croydon Surrey CR26AN,51.3499792,-0.100566
9,BRANDOUTLET LIMITED,43,"4th Floor, Suite 2 B Congress House Lyon Road Harrow Middlesex HA12EN",51.5801836,-0.33315
10,BRANDOW LTD,42,277-279 Chiswick High Road London England W44PU,51.4920614,-0.2625987
11,BRANDPIPE LTD,169,Dukes Court 32 Duke Street London SW1Y6DF,51.507721,-0.1382871
12,BRANDPLACE LIMITED,105,34 Harrowes Meade Edgware Middlesex HA88RP,,
13,BRANDPOINT DESIGN LIMITED,25,C/O Montgomery Swann Ltd Scotts Sufferance Wharf 1 Mill Street London SE12DE,51.5001889,-0.0729491
14,BRANDPOOL LIMITED,27,97 Charlotte Street London England W1T4QA,51.5206271,-0.1371981
15,BRANDPROX LIMITED,146,43 Grange Street Bridport Place London England N15JN,51.5349841,-0.0861324
16,BRANDPUBLISHER LIMITED,14,C/O Keith Reynolds Associates 135 Bermondsey Street London SE13UW,51.4998909,-0.08139049999999999
17,BRANDRAM MEWS MANAGEMENT LIMITED,85,195 Petersham Road Richmond Surrey TW107AW,51.4462841,-0.3019054
18,BRANDRAMS HOUSING CO-OPERATIVE LIMITED,193,Brandrams Wharf 127-131 Rotherhithe Street London SE164NF,51.50189700000001,-0.0531104
19,BRANDRAPPORT LIMITED,120,Greencoat House Francis Street London SW1P1DH,51.4959175,-0.1366917
20,BRANDREHAB LIMITED,122,33 Great Pulteney Street London W1F9NP,51.5120736,-0.136065
21,BRANDREST PROPERTIES LIMITED,27,51 Queen Anne Street London W1M9FA,,
22,BRANDRETH ENTERPRISES LTD,30,49B Fonthill Road London N43HZ,51.5662139,-0.1106801
23,BRANDRISKS GROUP LIMITED,17,Esca House 34 Palace Court London W24HY,,
24,BRANDRISKS LIMITED,120,Esca House 34 Palace Court London W24HY,,
25,BRANDS APPLIED LIMITED,135,"Suite 3, 1st Floor Stanmore House, 15-19 Church Road Stanmore Middlesex HA74AR",51.6175644,-0.3122381
26,BRANDS AT WORK LTD,101,145-157 St John Street London EC1V4PY,51.5234172,-0.1026916
27,BRANDS BANDS AND FANS LIMITED,147,Acre House 11-15 William Road London England NW13ER,51.526975,-0.13956
28,BRANDS BEYOND LTD,106,"Golden House, 30 Pulteney Street 5th Floor London England W1F9NN",51.512142,-0.1363558
29,BRANDS BOUTIQUE LTD,119,277-279 Chiswick High Road London W44PU,51.4920614,-0.2625987
